Start_Date,Total_kWh,carpark,home,other,street,work,start_temperature,id
2017/9/1,422.23,7,10,18,12,19,13,1
2017/9/2,258.95,7,9,8,12,9,13,2
2017/9/3,162.2,9,7,7,5,6,14,3
2017/9/4,323.46,7,18,12,8,15,14,4
2017/9/5,381.58,7,16,12,14,16,14,5
2017/9/6,450.25,13,19,13,14,19,14,6
2017/9/7,352.26,9,19,17,11,20,12,7
2017/9/8,455.39,8,14,14,11,27,13,8
2017/9/9,188.15,9,7,3,8,8,14,9
2017/9/10,187.27,7,7,5,9,3,11,10
2017/9/11,373.62,9,19,15,9,20,12,11
2017/9/12,443.58,10,25,15,13,23,13,12
2017/9/13,409.29,11,17,11,9,20,9,13
2017/9/14,496.43,7,15,14,18,25,12,14
2017/9/15,405.36,3,21,12,9,26,12,15
2017/9/16,281.08,5,6,8,16,8,11,16
2017/9/17,218.83,7,4,8,12,4,12,17
2017/9/18,449.14,6,25,12,16,18,10,18
2017/9/19,528.7,9,25,18,12,19,12,19
2017/9/20,415.15,9,28,13,11,14,13,20
2017/9/21,510.84,10,33,14,13,12,12,21
2017/9/22,391.9,7,22,17,11,12,11,22
2017/9/23,262.1,7,8,5,14,6,13,23
2017/9/24,233.26,3,4,7,7,8,14,24
2017/9/25,427.38,6,18,12,12,16,13,25
2017/9/26,533.42,8,30,22,12,13,14,26
2017/9/27,388.83,4,22,13,10,18,13,27
2017/9/28,372.13,6,19,15,11,17,14,28
2017/9/29,511.64,11,15,16,13,20,13,29
2017/9/30,247.92,6,10,5,10,6,10,30
2017/10/1,313.4,3,5,11,12,9,11,31
2017/10/2,348.41,6,15,13,9,13,12,32
2017/10/3,514.75,9,23,13,15,22,10,33
2017/10/4,439.6,6,26,15,14,17,10,34
2017/10/5,391.06,7,21,12,10,15,10,35
2017/10/6,481.46,7,23,12,14,28,7,36
2017/10/7,326.87,8,8,5,12,9,13,37
2017/10/8,169.47,4,5,7,10,4,12,38
2017/10/9,545.2,5,20,10,23,17,12,39
2017/10/10,340.74,5,20,15,12,13,10,40
2017/10/11,386.85,2,20,8,15,15,12,41
2017/10/12,396.04,5,22,16,12,17,10,42
2017/10/13,412.59,9,20,10,12,18,15,43
2017/10/14,260.72,4,8,6,15,4,12,44
2017/10/15,196.73,5,5,4,8,3,14,45
2017/10/16,511.3,5,27,14,14,19,11,46
2017/10/17,396.4,4,26,12,10,11,12,47
2017/10/18,454.78,5,30,11,13,17,9,48
2017/10/19,475.53,9,23,16,19,18,11,49
2017/10/20,516.2,15,28,21,12,20,12,50
2017/10/21,323.26,9,7,9,14,7,11,51
2017/10/22,283.53,7,7,8,7,3,11,52
2017/10/23,498.4,6,24,11,12,24,10,53
2017/10/24,457.92,6,22,10,13,18,11,54
2017/10/25,565.12,9,28,15,21,20,11,55
2017/10/26,431.52,7,22,12,17,25,10,56
2017/10/27,519.05,7,21,11,17,24,8,57
2017/10/28,234.18,9,11,3,9,6,13,58
2017/10/29,319.96,9,7,6,15,9,7,59
2017/10/30,706.06,7,29,13,24,30,5,60
2017/10/31,432.07,6,21,18,10,20,11,61
2017/11/1,477,11,25,13,19,18,12,62
2017/11/2,455.66,10,25,8,14,23,7,63
2017/11/3,506.02,12,20,11,9,22,7,64
2017/11/4,297.82,6,8,6,17,7,7,65
2017/11/5,212.54,4,7,4,9,10,5,66
2017/11/6,764.92,8,32,20,19,25,6,67
2017/11/7,508.75,10,25,16,20,25,8,68
2017/11/8,611.35,10,26,15,18,21,5,69
2017/11/9,566.43,13,21,10,18,25,8,70
2017/11/10,563.36,8,32,13,12,22,5,71
2017/11/11,418.19,9,7,8,15,14,4,72
2017/11/12,360.29,5,6,9,16,10,4,73
2017/11/13,632.98,7,27,19,7,35,4,74
2017/11/14,628.13,8,30,20,15,58,7,75
2017/11/15,649.4,9,32,14,16,26,5,76
2017/11/16,517.48,6,21,14,18,26,6,77
2017/11/17,562.61,4,16,18,15,21,6,78
2017/11/18,370.78,10,9,8,12,9,4,79
2017/11/19,313.74,3,5,12,10,9,3,80
2017/11/20,541.67,4,19,17,13,16,6,81
2017/11/21,558.24,8,22,14,16,19,8,82
2017/11/22,588.74,4,27,17,13,18,6,83
2017/11/23,613.54,6,26,14,15,27,3,84
2017/11/24,667.24,13,25,17,15,26,2,85
2017/11/25,331.47,10,7,6,13,11,2,86
2017/11/26,262.95,5,8,8,8,6,3,87
2017/11/27,573.76,7,28,17,11,24,4,88
2017/11/28,585.59,4,33,13,14,24,4,89
2017/11/29,668.59,10,26,15,10,20,2,90
2017/11/30,593.29,10,30,13,13,20,2,91
2017/12/1,47.5,0,3,3,1,7,2,92
2017/12/2,350.66,6,7,8,19,7,5,93
2017/12/3,295.89,4,5,8,8,9,5,94
2017/12/4,537.56,4,17,12,11,26,6,95
2017/12/5,633.2,8,27,16,12,26,7,96
2017/12/6,540.08,7,25,18,14,20,9,97
2017/12/7,662.78,11,23,17,16,26,6,98
2017/12/8,571.09,6,27,11,15,25,1,99
2017/12/9,341.22,14,8,7,10,8,1,100
2017/12/10,418.95,4,8,9,13,9,-1,101
2017/12/11,487.48,6,28,10,10,24,0,102
2017/12/12,563.29,7,12,14,13,20,1,103
2017/12/13,426.43,7,9,11,5,18,2,104
2017/12/14,628.08,11,23,16,14,26,0,105
2017/12/15,712.09,5,26,15,19,19,3,106
2017/12/16,317.77,7,7,9,14,6,1,107
2017/12/17,232.24,5,8,4,9,8,4,108
2017/12/18,616.74,6,31,13,22,25,3,109
2017/12/19,598.48,10,19,15,14,32,7,110
2017/12/20,581.44,5,27,24,18,35,8,111
2017/12/21,660.36,9,44,17,14,23,5,112
2017/12/22,526.22,8,22,21,14,16,5,113
2017/12/23,323.77,9,5,11,15,7,11,114
2017/12/24,189.52,5,6,8,7,6,11,115
2017/12/25,115.27,0,3,2,3,4,5,116
2017/12/26,222.56,5,6,6,8,4,2,117
2017/12/27,363.3,6,7,15,10,6,1,118
2017/12/28,365.29,2,20,16,12,16,1,119
2017/12/29,393.42,2,16,15,12,18,1,120
2017/12/30,273.61,6,5,8,10,6,2,121
2017/12/31,204.22,3,7,8,6,5,5,122
2018/1/1,130.84,1,8,2,4,4,2,123
2018/1/2,253.18,7,5,6,7,3,2,124
2018/1/3,418.11,2,18,14,8,14,3,125
2018/1/4,450.56,5,16,17,11,28,3,126
2018/1/5,497.84,3,18,17,14,18,4,127
2018/1/6,203.95,1,7,5,8,7,2,128
2018/1/7,242.66,4,3,12,5,8,-1,129
2018/1/8,682.79,6,33,19,14,27,1,130
2018/1/9,622.88,4,28,17,19,26,3,131
2018/1/10,547.36,7,30,19,10,23,3,132
2018/1/11,645.71,5,28,20,20,24,3,133
2018/1/12,613.35,10,31,18,13,23,4,134
2018/1/13,260.57,5,5,8,11,4,4,135
2018/1/14,255,9,4,9,6,9,5,136
2018/1/15,624.61,8,29,11,14,27,4,137
2018/1/16,630.09,15,23,22,14,26,1,138
2018/1/17,818.86,14,33,19,10,33,2,139
2018/1/18,750.55,7,30,20,14,34,1,140
2018/1/19,800.73,9,31,18,25,27,0,141
2018/1/20,377.21,11,7,12,13,7,0,142
2018/1/21,317.79,5,6,9,10,7,1,143
2018/1/22,656.09,10,27,21,16,34,4,144
2018/1/23,575.8,7,23,17,9,24,7,145
2018/1/24,656.24,9,24,22,10,24,6,146
2018/1/25,644.97,8,26,19,19,21,3,147
2018/1/26,507.6,8,21,17,14,16,3,148
2018/1/27,392.09,8,7,16,14,7,7,149
2018/1/28,257.97,4,9,9,5,6,7,150
2018/1/29,667.03,6,30,17,17,32,5,151
2018/1/30,762.73,12,28,25,21,27,5,152
2018/1/31,689.19,4,29,25,10,22,3,153
2018/2/1,576.74,9,28,12,15,25,5,154
2018/2/2,570.05,3,20,19,18,27,4,155
2018/2/3,402.29,8,12,8,14,5,3,156
2018/2/4,262.49,4,7,10,6,5,3,157
2018/2/5,636.29,5,27,18,11,26,2,158
2018/2/6,554.83,7,22,12,12,24,1,159
2018/2/7,679.88,8,31,22,14,23,0,160
2018/2/8,634.01,9,28,20,18,35,4,161
2018/2/9,588.99,8,23,21,15,18,2,162
2018/2/10,357.07,5,5,9,17,8,5,163
2018/2/11,274.86,3,5,13,5,7,1,164
2018/2/12,668.13,10,23,17,13,27,2,165
2018/2/13,618.47,10,29,17,15,27,2,166
2018/2/14,617.6,5,32,15,11,21,2,167
2018/2/15,600.96,3,28,16,13,26,3,168
2018/2/16,575.28,4,24,17,14,20,3,169
2018/2/17,267.46,5,6,7,9,5,4,170
2018/2/18,193.37,4,4,15,3,2,3,171
2018/2/19,553.87,6,27,17,17,21,6,172
2018/2/20,658.53,6,31,17,17,20,6,173
2018/2/21,594.2,8,27,21,15,24,4,174
2018/2/22,628.52,10,29,16,15,25,4,175
2018/2/23,606.55,7,25,18,15,24,2,176
2018/2/24,204.47,7,6,8,9,6,3,177
2018/2/25,300.35,2,7,11,9,12,2,178
2018/2/26,691.18,11,26,17,15,23,1,179
2018/2/27,588.49,6,25,19,10,22,1,180
2018/2/28,416.68,7,13,11,7,10,-2,181
2018/3/1,297.04,0,3,9,7,8,-1,182
2018/3/2,343.38,3,13,6,11,10,0,183
2018/3/5,539.53,4,21,18,11,26,2,184
2018/3/6,622.74,4,30,21,15,23,2,185
2018/3/7,665.57,7,29,17,17,27,3,186
2018/3/8,606.64,8,36,18,14,34,2,187
2018/3/9,603.79,5,27,22,9,31,4,188
2018/3/10,319.32,7,7,9,9,14,4,189
2018/3/11,319.59,4,7,10,12,9,5,190
2018/3/12,598.93,8,30,28,8,20,5,191
2018/3/13,472.66,7,20,20,9,27,4,192
2018/3/14,610.42,9,23,26,11,27,5,193
2018/3/15,630.37,6,25,23,10,29,5,194
2018/3/16,584.76,10,23,20,12,20,3,195
2018/3/17,368.73,7,7,16,12,4,0,196
2018/3/18,161.93,3,1,6,8,6,1,197
2018/3/19,458.5,8,22,21,9,16,3,198
2018/3/20,583.2,10,32,21,11,25,4,199
2018/3/21,629.63,8,28,25,12,20,5,200
2018/3/22,567.01,8,24,28,6,36,6,201
2018/3/23,470.58,7,18,25,12,17,7,202
2018/3/24,302.55,8,6,11,12,5,6,203
2018/3/25,246.18,3,5,10,8,5,6,204
2018/3/26,520.85,5,24,16,11,16,5,205
2018/3/27,435.86,9,24,14,10,17,6,206
2018/3/28,504.69,12,27,16,14,18,5,207
2018/3/29,605.29,12,24,17,15,16,4,208
2018/3/30,623.43,13,26,15,11,23,3,209
2018/3/31,285.5,7,15,14,9,8,3,210
2018/4/1,289.59,6,8,11,6,10,3,211
2018/4/2,535.83,9,32,10,11,18,3,212
2018/4/3,553.89,8,32,23,8,16,3,213
2018/4/4,531.95,7,31,15,9,14,2,214
2018/4/5,486.86,7,23,15,12,16,5,215
2018/4/6,432.93,6,19,16,6,16,6,216
2018/4/7,159.44,5,2,4,9,6,8,217
2018/4/8,177.93,4,4,10,6,7,9,218
2018/4/9,421.04,7,19,26,6,14,8,219
2018/4/10,497.89,6,27,17,8,15,5,220
2018/4/11,438.62,7,23,17,8,20,6,221
2018/4/12,410.41,3,26,16,6,18,6,222
2018/4/13,427.5,5,23,12,8,15,5,223
2018/4/14,232.8,8,3,9,10,4,9,224
2018/4/15,200.7,5,2,6,8,5,9,225
2018/4/16,470.17,5,24,22,10,21,10,226
2018/4/17,423.3,4,26,26,7,18,11,227
2018/4/18,564.27,5,31,20,15,26,13,228
2018/4/19,339.46,8,16,17,13,15,14,229
2018/4/20,468.43,6,17,17,18,24,12,230
2018/4/21,204.04,5,1,11,10,5,11,231
2018/4/22,225.05,3,3,11,7,5,11,232
2018/4/23,426.2,8,22,17,8,17,9,233
2018/4/24,445.77,7,27,11,13,15,10,234
2018/4/25,475.98,9,27,14,18,17,9,235
2018/4/26,347.36,7,23,14,11,17,9,236
2018/4/27,401.04,10,18,16,16,16,8,237
2018/4/28,218.45,5,1,9,14,6,8,238
2018/4/29,174.65,6,2,10,6,5,7,239
2018/4/30,405.37,11,18,19,13,15,8,240
2018/5/1,502.64,8,13,23,16,18,8,241
2018/5/2,457.28,10,18,18,13,14,8,242
2018/5/3,461.51,8,20,19,13,16,9,243
2018/5/4,464.51,10,21,21,21,25,13,244
2018/5/5,225.65,7,0,14,11,9,12,245
2018/5/6,148.81,3,1,7,8,8,14,246
2018/5/7,339.94,9,15,13,14,18,13,247
2018/5/8,436.21,10,20,21,14,11,13,248
2018/5/9,484.18,7,16,21,11,22,10,249
2018/5/10,438.48,8,24,22,13,16,10,250
2018/5/11,459.79,6,20,29,11,21,10,251
2018/5/12,241.69,2,3,8,13,5,11,252
2018/5/13,130.46,5,1,9,5,2,12,253
2018/5/14,398.24,5,19,18,12,14,13,254
2018/5/15,430.2,7,23,24,9,15,14,255
2018/5/16,502.8,9,18,14,9,20,10,256
2018/5/17,382.78,8,18,26,11,15,11,257
2018/5/18,440.77,8,21,21,16,17,12,258
2018/5/19,195.27,5,4,8,11,5,15,259
2018/5/20,174.48,5,2,6,5,8,13,260
2018/5/21,366.16,7,18,11,13,19,15,261
2018/5/22,427.85,8,15,18,15,21,11,262
2018/5/23,512.11,11,23,19,15,21,10,263
2018/5/24,414.34,7,20,11,12,18,10,264
2018/5/25,373.75,9,16,13,15,18,15,265
2018/5/26,229.88,7,5,5,8,12,15,266
2018/5/27,138.93,5,2,3,6,9,14,267
2018/5/28,266.43,8,9,10,11,13,16,268
2018/5/29,386.08,10,17,13,13,22,15,269
2018/5/30,410.7,7,15,10,19,16,16,270
2018/5/31,405.56,8,20,10,14,21,15,271
