Start_Date,Total_kWh
2017/9/1,422.23
2017/9/2,258.95
2017/9/3,162.2
2017/9/4,323.46
2017/9/5,381.58
2017/9/6,450.25
2017/9/7,352.26
2017/9/8,455.39
2017/9/9,188.15
2017/9/10,187.27
2017/9/11,373.62
2017/9/12,443.58
2017/9/13,409.29
2017/9/14,496.43
2017/9/15,405.36
2017/9/16,281.08
2017/9/17,218.83
2017/9/18,449.14
2017/9/19,528.7
2017/9/20,415.15
2017/9/21,510.84
2017/9/22,391.9
2017/9/23,262.1
2017/9/24,233.26
2017/9/25,427.38
2017/9/26,533.42
2017/9/27,388.83
2017/9/28,372.13
2017/9/29,511.64
2017/9/30,247.92
2017/10/1,313.4
2017/10/2,348.41
2017/10/3,514.75
2017/10/4,439.6
2017/10/5,391.06
2017/10/6,481.46
2017/10/7,326.87
2017/10/8,169.47
2017/10/9,545.2
2017/10/10,340.74
2017/10/11,386.85
2017/10/12,396.04
2017/10/13,412.59
2017/10/14,260.72
2017/10/15,196.73
2017/10/16,511.3
2017/10/17,396.4
2017/10/18,454.78
2017/10/19,475.53
2017/10/20,516.2
2017/10/21,323.26
2017/10/22,283.53
2017/10/23,498.4
2017/10/24,457.92
2017/10/25,565.12
2017/10/26,431.52
2017/10/27,519.05
2017/10/28,234.18
2017/10/29,319.96
2017/10/30,706.06
2017/10/31,432.07
2017/11/1,477
2017/11/2,455.66
2017/11/3,506.02
2017/11/4,297.82
2017/11/5,212.54
2017/11/6,764.92
2017/11/7,508.75
2017/11/8,611.35
2017/11/9,566.43
2017/11/10,563.36
2017/11/11,418.19
2017/11/12,360.29
2017/11/13,632.98
2017/11/14,628.13
2017/11/15,649.4
2017/11/16,517.48
2017/11/17,562.61
2017/11/18,370.78
2017/11/19,313.74
2017/11/20,541.67
2017/11/21,558.24
2017/11/22,588.74
2017/11/23,613.54
2017/11/24,667.24
2017/11/25,331.47
2017/11/26,262.95
2017/11/27,573.76
2017/11/28,585.59
2017/11/29,668.59
2017/11/30,593.29
2017/12/1,47.5
2017/12/2,350.66
2017/12/3,295.89
2017/12/4,537.56
2017/12/5,633.2
2017/12/6,540.08
2017/12/7,662.78
2017/12/8,571.09
2017/12/9,341.22
2017/12/10,418.95
2017/12/11,487.48
2017/12/12,563.29
2017/12/13,426.43
2017/12/14,628.08
2017/12/15,712.09
2017/12/16,317.77
2017/12/17,232.24
2017/12/18,616.74
2017/12/19,598.48
2017/12/20,581.44
2017/12/21,660.36
